DATE,M2SL,YoY Percent Change
9/1/2022,21503.4,2.5636867
10/1/2022,21485.81818,1.6166202
11/1/2022,21468.23636,0.5566262
12/1/2022,21450.65455,-0.1830873
1/1/2023,21433.07273,-1.0006017
2/1/2023,21415.49091,-1.350198
3/1/2023,21397.90909,-1.572197
4/1/2023,21380.32727,-1.2191383
5/1/2023,21362.74545,-1.3231646
6/1/2023,21345.16364,-1.215013
7/1/2023,21327.58182,-1.4263973
8/1/2023,21310,-1.4903571
